Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded,Sentiment,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/1984,60667,1904/1946/1959,7,
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",6/29/2012,707549,,-4,
LUV,Southwest Airlines,reports,Industrials,Airlines,"Dallas, Texas",7/1/1994,92380,,2,
LVS,Las Vegas Sands,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",10/3/2019,1300514,1988,4,
LW,Lamb Weston Holdings Inc,reports,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",12/3/2018,1679273,2016 (1950),-5,
LYB,LyondellBasell,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",9/5/2012,1489393,,-1,
LYV,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment,"Beverly Hills, California",12/23/2019,1335258,2010,0,
MA,Mastercard Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",7/18/2008,1141391,,-3,
MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,"Memphis, Tennessee",12/2/2016,912595,,-7,
MAR,Marriott Int'l.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1927,6,
MAS,Masco Corp.,reports,Industrials,Building Products,"Livonia, Michigan",6/30/1981,62996,,-3,
MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",6/30/1970,63908,1940,3,
MCHP,Microchip Technology,reports,Information Technology,Semiconductors,"Chandler, Arizona",9/7/2007,827054,,7,
MCK,McKesson Corp.,reports,Health Care,Health Care Distributors,"Irving, Texas",,927653,1833,4,
MCO,Moody's Corp,reports,Financials,Financial Exchanges & Data,"New York, New York",,1059556,1909,-3,
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Deerfield, Illinois",10/2/2012,1103982,,-3,
MDT,Medtronic plc,reports,Health Care,Health Care Equipment,"Dublin,?Ireland",10/31/1986,1613103,1949,-3,
MET,MetLife Inc.,reports,Financials,Life & Health Insurance,"New York, New York",,1099219,1868,-6,
MGM,MGM Resorts International,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",7/26/2017,789570,,7,
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",12/23/2013,851968,,-2,
MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",,63754,1889,-4,
MKTX,MarketAxess,reports,Financials,Financial Exchanges & Data,"New York, New York",7/1/2019,1278021,2000,-6,
MLM,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",7/2/2014,916076,,3,
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York, New York",8/31/1987,62709,,-6,
MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",8/9/1976,66740,1902,-2,
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",6/28/2012,865752,,2,
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",,764180,1985,-7,
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",9/26/2011,1285785,,4,
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",7/1/2011,1510295,,4,
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",,310158,1891,-6,
MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",5/1/1991,101778,,-7,
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,"New York, New York",,895421,1935,-5,
MSCI,MSCI Inc,reports,Financials,Financial Exchanges & Data,"New York, New York",4/4/2018,1408198,,6,
MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,"Redmond, Washington",6/1/1994,789019,1975,0,
MSI,Motorola Solutions Inc.,reports,Information Technology,Communications Equipment,"Chicago, Illinois",,68505,1928 (2011),7,
MTB,M&T Bank Corp.,reports,Financials,Regional Banks,"Buffalo, New York",,36270,1856,-2,
